id,state,total_pop,groundwater_per_day,gal_per_capita,county
13121,GA,1010562,122610000,121.33,Fulton County
13123,GA,29400,560000,19.05,Gilmer County
13125,GA,3065,70000,22.84,Glascock County
13127,GA,83579,5290000,63.29,Glynn County
13129,GA,56574,3940000,69.64,Gordon County
13131,GA,25205,1210000,48.01,Grady County
13133,GA,16710,970000,58.05,Greene County
13135,GA,895823,51200000,57.15,Gwinnett County
13137,GA,43996,2860000,65.01,Habersham County
13139,GA,193535,5260000,27.18,Hall County
13141,GA,8551,450000,52.63,Hancock County
13143,GA,28854,1600000,55.45,Haralson County
13145,GA,33381,2160000,64.71,Harris County
13147,GA,25534,1070000,41.9,Hart County
13149,GA,11539,500000,43.33,Heard County
13151,GA,217739,24670000,113.3,Henry County
13153,GA,150033,15750000,104.98,Houston County
13155,GA,9245,220000,23.8,Irwin County
13157,GA,63360,3980000,62.82,Jackson County
13159,GA,13635,520000,38.14,Jasper County
13161,GA,14920,560000,37.53,Jeff Davis County
13163,GA,16105,890000,55.26,Jefferson County
13165,GA,8957,280000,31.26,Jenkins County
13167,GA,9656,190000,19.68,Johnson County
13169,GA,28494,1290000,45.27,Jones County
13171,GA,18201,1360000,74.72,Lamar County
13173,GA,10312,310000,30.06,Lanier County
13175,GA,47731,1960000,41.06,Laurens County
13177,GA,29202,1380000,47.26,Lee County
13179,GA,62467,3180000,50.91,Liberty County
13181,GA,7672,10000,1.3,Lincoln County
13183,GA,17730,300000,16.92,Long County
13185,GA,112865,7200000,63.79,Lowndes County
13187,GA,31408,690000,21.97,Lumpkin County
13189,GA,21540,1140000,52.92,McDuffie County
13191,GA,13969,940000,67.29,McIntosh County
13193,GA,13632,560000,41.08,Macon County
13195,GA,28441,350000,12.31,Madison County
13197,GA,8761,920000,105.01,Marion County
13199,GA,21190,740000,34.92,Meriwether County
13201,GA,5854,140000,23.92,Miller County
13205,GA,22574,990000,43.86,Mitchell County
13207,GA,27103,1390000,51.29,Monroe County
13209,GA,8951,180000,20.11,Montgomery County
13211,GA,18046,560000,31.03,Morgan County
13213,GA,39565,1890000,47.77,Murray County
13215,GA,200579,17030000,84.9,Muscogee County
13217,GA,105473,6350000,60.2,Newton County
13219,GA,35965,1620000,45.04,Oconee County
13221,GA,14870,240000,16.14,Oglethorpe County
13223,GA,152238,8070000,53.01,Paulding County
13225,GA,26720,1340000,50.15,Peach County
13227,GA,30309,2370000,78.19,Pickens County
13229,GA,19102,420000,21.99,Pierce County
13231,GA,17941,5110000,284.82,Pike County
13233,GA,41523,3260000,78.51,Polk County
13235,GA,11395,640000,56.16,Pulaski County
13237,GA,21353,740000,34.66,Putnam County
13239,GA,2302,170000,73.85,Quitman County
13241,GA,16280,960000,58.96,Rabun County
13243,GA,7193,600000,83.41,Randolph County
13245,GA,201793,13240000,65.61,Richmond County
13247,GA,88856,5420000,61.0,Rockdale County
13249,GA,5167,330000,63.85,Schley County
13251,GA,14162,320000,22.6,Screven County
13253,GA,8647,350000,40.48,Seminole County
13255,GA,64051,3860000,60.26,Spalding County
13257,GA,25586,1990000,77.78,Stephens County
13259,GA,5851,620000,105.96,Stewart County
13261,GA,30779,1500000,48.73,Sumter County
13263,GA,6337,1660000,261.95,Talbot County
13265,GA,1639,50000,30.51,Taliaferro County
13267,GA,25229,630000,24.97,Tattnall County
13269,GA,8330,460000,55.22,Taylor County
13271,GA,16400,620000,37.8,Telfair County
13273,GA,9113,490000,53.77,Terrell County
13275,GA,45063,2530000,56.14,Thomas County
13277,GA,40764,3210000,78.75,Tift County
13279,GA,27241,1410000,51.76,Toombs County
13281,GA,11182,1120000,100.16,Towns County
13283,GA,6785,170000,25.06,Treutlen County
13285,GA,69763,3520000,50.46,Troup County
13287,GA,8214,500000,60.87,Turner County
13289,GA,8390,250000,29.8,Twiggs County
13291,GA,22267,1070000,48.05,Union County
13293,GA,26368,1800000,68.26,Upson County
13295,GA,68066,4830000,70.96,Walker County
13297,GA,88399,4720000,53.39,Walton County
13299,GA,35370,1620000,45.8,Ware County
13301,GA,5460,220000,40.29,Warren County
13303,GA,20816,610000,29.3,Washington County
13305,GA,29534,890000,30.13,Wayne County
13307,GA,2648,80000,30.21,Webster County
13309,GA,7903,120000,15.18,Wheeler County
13311,GA,28319,810000,28.6,White County
13313,GA,104216,8270000,79.35,Whitfield County
13315,GA,8857,350000,39.52,Wilcox County
13317,GA,9867,480000,48.65,Wilkes County
13319,GA,9155,480000,52.43,Wilkinson County
13321,GA,20699,590000,28.5,Worth County
15001,HI,196428,20840000,106.09,Hawaii County
15003,HI,998714,143810000,144.0,Honolulu County
15005,HI,89,10000,112.36,Kalawao County
15007,HI,71735,9790000,136.47,Kauai County
15009,HI,164637,23590000,143.28,Maui County
16001,ID,434211,63500000,146.24,Ada County
16003,ID,3843,480000,124.9,Adams County
16005,ID,83744,14500000,173.15,Bannock County
16007,ID,5922,270000,45.59,Bear Lake County
16009,ID,9052,480000,53.03,Benewah County
16011,ID,44990,1790000,39.79,Bingham County
16013,ID,21592,4620000,213.97,Blaine County
16015,ID,7058,450000,63.76,Boise County
16017,ID,41858,1540000,36.79,Bonner County
